,Open,High,Low,Close,Volume,Month,Year,Day,EPS,PE
0,310.24827093189657,311.61279936777015,309.13392825172144,311.33990478515625,2014606,1,2013,1,14.44,21.560935234429103
1,313.79601008498264,313.84148325335906,310.6803207320784,312.6361389160156,4854798,1,2013,2,14.44,21.650702140998312
2,313.84148775911694,313.84148775911694,309.47500859920126,310.8167724609375,4571366,1,2013,3,14.44,21.524707234136947
3,311.5672478340986,311.5672478340986,306.01816137148967,308.99737548828125,5442254,1,2013,4,14.44,21.398710213869894
4,310.9759340753804,310.9759340753804,302.9252133924028,303.9258728027344,5502284,1,2013,7,14.44,21.047498116532854
5,303.8349108527019,306.29107243421254,302.7887782388711,304.8583068847656,4942598,1,2013,8,14.44,21.112071113903436
6,305.6542749297753,305.9044328465611,302.9479554848892,303.60748291015625,6435982,1,2013,9,14.44,21.02544895499697
7,304.5172172113725,308.3833805366849,303.1526889789093,307.3827209472656,4565184,1,2013,10,14.44,21.286892032359116
8,307.8830913436779,307.8830913436779,303.2436893983723,304.42626953125,5141714,1,2013,11,14.44,21.08215162958795
9,303.90321698691577,304.972086423886,303.42560985498403,304.42626953125,5694874,1,2013,14,14.44,21.08215162958795
10,305.10848127538776,307.22351096037033,302.4703991359548,303.97137451171875,4131688,1,2013,15,14.44,21.050649204412657
11,302.7205646699386,304.3807516911241,299.1045595184307,300.4236145019531,4575378,1,2013,16,14.44,20.804959453043846
12,299.1500959425287,305.13126172241056,297.48990872435417,303.2891540527344,6422072,1,2013,17,14.44,21.003404020272466
13,304.7446293019957,306.5640002232017,298.05843561428446,301.49249267578125,10112346,1,2013,18,14.44,20.87898148724247
14,300.1962096569473,301.7426860839816,297.80828526194887,299.53668212890625,5427360,1,2013,21,14.44,20.743537543553064
15,299.51389622296244,300.6510028904756,294.53336346697625,297.3533935546875,4243064,1,2013,22,14.44,20.592340273870327
16,298.83166743107796,301.5607237546495,297.62632311694193,298.64971923828125,3539870,1,2013,23,14.44,20.682113520656596
17,298.1948449710659,301.44698118383064,298.03566114025654,300.3326110839844,3073980,1,2013,24,14.44,20.79865727728424
18,300.33263070947834,303.3800823664883,298.17212787403486,302.4931335449219,2794866,1,2013,25,14.44,20.94827794632423
19,302.58412180845806,305.65431019208387,302.22025318193727,304.90380859375,3684010,1,2013,28,14.44,21.11522220178324
20,305.0857624380235,305.153999952371,295.6477757506005,296.76214599609375,5980874,1,2013,29,14.44,20.551395152084055
21,297.012298307003,299.46846011731634,292.9187137974118,298.6724853515625,5019816,1,2013,30,14.44,20.683690121299342
22,298.6497471893831,299.2410649906165,291.14484159716557,292.48663330078125,6944192,1,2013,31,14.44,20.25530701528956
23,293.2826047062027,293.3053412918151,289.37096809329483,291.1676025390625,5242072,2,2013,1,14.44,20.16396139467192
24,291.6224470950151,295.4203730418792,291.09936681570855,294.23779296875,5237900,2,2013,4,14.44,20.376578460439752
25,289.43917332924497,294.3742338316199,289.43917332924497,292.9869689941406,3730010,2,2013,5,14.44,20.289956301533284
26,294.101351625798,294.2378266787476,289.825845842699,290.8719787597656,4936794,2,2013,6,14.44,20.143488833778783
