,symbol,date,current_price,pe_ratio,eps,expected_quarterly_eps,peg_ratio,roe,roce,roa
0,HDFCBANK,2024-10-21,"1,728",19.0,90.9,-6.66,0.81,17.1,7.67,1.99
0,RELIANCE,2024-10-21,"2,723",27.1,100,28.5,2.26,9.25,9.61,4.71
