,symbol,percent_diff,min,max,avg,relative_diff
0,HDFCBANK,5.24,-6.9,27.78,6.43,1.1899999999999995
1,IOC,42.67,-14.54,88.23,19.11,-23.560000000000002
2,SHREECEM,0.99,-20.17,23.39,2.58,1.59
3,TATAMOTORS,38.3,-0.64,108.05,37.07,-1.2299999999999969
4,ADANIPORTS,40.46,-17.86,68.62,21.74,-18.720000000000002
5,ULTRACEMCO,25.46,-10.5,43.92,16.73,-8.73
6,BHARTIARTL,34.91,-20.35,38.29,12.62,-22.29
7,HEROMOTOCO,35.35,-15.84,49.54,7.47,-27.880000000000003
8,HINDUNILVR,8.51,-11.19,16.73,2.45,-6.06
9,GRASIM,27.71,-3.39,67.51,23.38,-4.330000000000002
10,TATASTEEL,17.7,-10.43,101.4,28.32,10.620000000000001
11,UPL,-5.82,-25.02,50.36,5.38,11.2
12,AXISBANK,14.57,-5.43,42.25,16.08,1.509999999999998
13,LT,20.51,-3.85,41.88,22.17,1.6600000000000001
14,POWERGRID,41.46,-4.5,43.5,18.39,-23.07
15,SBIN,24.23,-1.31,66.79,23.81,-0.4200000000000017
16,WIPRO,10.54,-17.26,56.26,13.46,2.9200000000000017
17,INDUSINDBK,1.52,-7.15,53.21,17.37,15.850000000000001
18,INFY,16.18,-13.55,40.54,12.78,-3.4000000000000004
19,ONGC,45.95,-15.19,51.57,20.16,-25.790000000000003
20,BAJAJFINSV,2.23,-10.35,67.8,16.82,14.59
21,CIPLA,21.06,-8.01,27.55,13.31,-7.749999999999998
22,KOTAKBANK,-0.21,-5.49,32.83,5.33,5.54
23,MARUTI,16.43,-1.25,26.5,10.94,-5.49
24,TCS,13.99,-5.27,29.78,9.69,-4.300000000000001
25,TITAN,6.22,-0.73,53.36,22.21,15.990000000000002
26,BPCL,40.2,-20.32,58.86,5.62,-34.580000000000005
27,BRITANNIA,18.9,-10.35,21.29,5.1,-13.799999999999999
28,EICHERMOT,23.45,-2.34,29.96,13.24,-10.209999999999999
29,ICICIBANK,18.25,-2.46,45.4,19.16,0.9100000000000001
30,RELIANCE,12.23,-4.89,24.64,8.4,-3.83
31,ASIANPAINT,0.42,-6.82,39.27,11.19,10.77
32,BAJAJ-AUTO,41.29,-6.09,59.98,16.32,-24.97
33,NESTLEIND,7.7,-5.3,19.72,6.34,-1.3600000000000003
34,BAJFINANCE,-2.13,-7.96,49.63,14.67,16.8
35,COALINDIA,46.33,-13.18,65.78,20.63,-25.7
36,HCLTECH,18.07,-7.9,40.81,16.09,-1.9800000000000004
37,HDFCLIFE,12.02,-16.26,16.27,0.76,-11.26
38,HINDALCO,19.57,-11.51,66.31,23.58,4.009999999999998
39,DRREDDY,20.73,-12.06,22.68,7.02,-13.71
40,GAIL,48.01,-15.59,55.49,16.82,-31.189999999999998
41,DIVISLAB,23.15,-21.85,42.6,10.95,-12.2
42,NTPC,43.71,-7.54,52.09,21.22,-22.490000000000002
43,TECHM,21.19,-14.83,55.37,14.99,-6.200000000000001
44,ITC,16.87,-11.94,37.41,14.26,-2.610000000000001
45,JSWSTEEL,13.55,-0.91,98.01,26.71,13.16
46,M&M,49.68,-0.06,63.06,22.75,-26.93
47,SBILIFE,21.23,-5.8,25.91,9.18,-12.05
48,SUNPHARMA,30.23,-0.12,39.25,18.74,-11.490000000000002
