,symbol,percent_diff,min,max,avg,relative_diff
17,NIFTY PSU BANK,22.54,-9.96,64.06,28.34,5.8
21,NIFTY MEDIA,3.59,-14.86,42.58,8.7,5.11
20,NIFTY METAL,21.35,-9.15,80.79,26.02,4.67
2,NIFTY BANK,11.92,-4.31,47.25,14.94,3.02
37,NIFTY PVT BANK,10.59,-6.03,42.24,13.24,2.65
7,NIFTY FIN SERVICE,14.64,-5.13,40.65,12.85,-1.79
31,NIFTY100 LIQ 15,20.12,-5.98,32.89,15.19,-4.93
60,NIFTY TATA 25 CAP,29.29,-1.21,58.68,23.28,-6.01
18,NIFTY SERV SECTOR,18.57,-4.32,33.75,12.43,-6.14
5,NIFTY COMMODITIES,25.3,-5.21,39.68,18.52,-6.78
0,NIFTY 50,19.77,-2.23,27.99,12.9,-6.87
44,NIFTY FINSRV25 50,21.43,-5.63,38.96,14.13,-7.3
10,NIFTY REALTY,35.53,-7.18,69.89,27.82,-7.71
13,NIFTY FMCG,19.15,-5.23,24.21,10.96,-8.19
3,NIFTY 100,21.96,-2.62,28.38,13.16,-8.8
53,NIFTY MICROCAP250,40.17,0,69.81,31.18,-8.99
22,NIFTY 200,23.56,-2.57,30.18,14.25,-9.31
48,NIFTY500 MULTICAP,27.42,-2.44,36.16,18.04,-9.38
32,NIFTY 500,24.61,-2.62,31.35,15.09,-9.52
52,NIFTY TOTAL MKT,25.14,-2.38,31.82,15.58,-9.56
29,NIFTY SMLCAP 250,33.33,-4.18,49.18,23.45,-9.88
62,NIFTY MULTI INFRA,30.43,0,37.53,20.42,-10.01
9,NIFTY MIDCAP 50,31.98,-2.24,44.12,21.89,-10.09
26,NIFTY MIDSML 400,32.24,-2.56,42.66,21.94,-10.3
49,NIFTY LARGEMID250,26.95,-2.35,33.62,16.64,-10.31
25,NIFTY MIDCAP 150,31.63,-1.83,41.25,21.24,-10.39
57,NIFTY100 ESG,23.47,-4.61,31.04,12.97,-10.5
1,NIFTY MIDCAP 100,32.54,-2.18,43.17,21.58,-10.96
30,NIFTY50 VALUE 20,25.87,-2.32,30.69,14.73,-11.14
38,NIFTY50 EQL WGT,25.49,-3.24,27.05,13.98,-11.51
40,NIFTY100 LOWVOL30,24.24,-1.97,25.4,12.56,-11.68
28,NIFTY SMLCAP 100,33.29,-11.31,47.05,21.6,-11.69
59,NIFTYM150MOMNTM50,36.27,-0.49,51.76,24.43,-11.84
43,NIFTY MID SELECT,31.56,-4.54,44.81,19.67,-11.89
50,NIFTY100ESGSECLDR,25.21,-3.74,26.78,13.3,-11.91
34,NIFTY GROWSECT 15,22.64,-2.85,22.64,10.32,-12.32
11,NIFTY INFRA,29.2,-5.01,37.77,16.82,-12.38
14,NIFTY MNC,24.89,-2.21,31.62,12.35,-12.54
41,NIFTY100 QUALTY30,25.1,-3.26,26.41,12.54,-12.56
8,NIFTY IT,25.76,-9.59,47.15,13.12,-12.64
39,NIFTY100 EQL WGT,28.65,-3.14,32.18,15.86,-12.79
61,NIFTY MULTI MFG,32.86,-1.35,36.83,20.01,-12.85
46,NIFTY CONSR DURBL,30.23,-4.84,49.68,16.94,-13.29
12,NIFTY ENERGY,29.04,-8.9,44.4,15.66,-13.38
6,NIFTY CONSUMPTION,27.44,-1.84,28.41,13.22,-14.22
35,NIFTY MID LIQ 15,36.14,0,43.54,21.45,-14.69
54,NIFTY M150 QLTY50,30.52,-4.59,35.74,15.76,-14.76
55,NIFTY INDIA MFG,33.29,-1.45,39.52,18.52,-14.77
23,NIFTY200 QUALTY30,27,-3.68,28.14,12.16,-14.84
51,NIFTY200MOMENTM30,33.59,-7.99,40.84,18.41,-15.18
27,NIFTY SMLCAP 50,36.36,-15.36,50.07,20.96,-15.4
42,NIFTY ALPHALOWVOL,30.19,-4.44,33.6,14.74,-15.45
4,NIFTY DIV OPPS 50,31.41,-2.97,35.45,15.7,-15.71
24,NIFTY ALPHA 50,38.72,-10.95,49.32,22.11,-16.61
19,NIFTY AUTO,36.66,-1.91,46.79,19.6,-17.06
47,NIFTY OIL AND GAS,33.26,-9.04,44.22,15.84,-17.42
56,NIFTY IND DIGITAL,33.38,-10.25,45.73,15.09,-18.29
36,NIFTY NEXT 50,34.55,-6.02,40.87,15.3,-19.25
58,NIFTY200 ALPHA 30,40.6,-12.03,47.37,20.45,-20.15
45,NIFTY HEALTHCARE,33.4,-7.35,33.4,11.77,-21.63
33,NIFTY CPSE,47.25,-11.57,65.18,25.49,-21.76
16,NIFTY PSE,45.21,-14.23,69.06,22.98,-22.23
15,NIFTY PHARMA,34.83,-8.87,34.83,10.21,-24.62
63,NIFTY MIDSML HLTH,37.35,-12.82,37.35,12.49,-24.86
