,symbol,percent_diff,min,max,avg,relative_diff
0,NIFTY 50,18.42,-2.85,29.05,13.2,-5.220000000000002
1,NIFTY MIDCAP 100,29.97,-2.0,42.29,20.93,-9.04
2,NIFTY BANK,13.51,-3.69,46.67,15.45,1.9399999999999995
3,NIFTY 100,20.36,-3.21,29.3,13.4,-6.959999999999999
4,NIFTY DIV OPPS 50,26.18,-3.2,34.11,16.16,-10.02
5,NIFTY COMMODITIES,21.01,-3.5,40.17,18.46,-2.5500000000000007
6,NIFTY CONSUMPTION,28.35,-2.43,30.07,13.35,-15.000000000000002
7,NIFTY FIN SERVICE,16.25,-5.92,41.31,13.48,-2.7699999999999996
8,NIFTY IT,21.16,-11.07,48.98,13.33,-7.83
9,NIFTY MIDCAP 50,28.95,-1.92,41.11,21.25,-7.699999999999999
10,NIFTY REALTY,32.82,-7.8,69.83,27.39,-5.43
11,NIFTY INFRA,25.11,-4.22,37.17,17.29,-7.82
12,NIFTY ENERGY,22.38,-8.38,45.12,16.43,-5.949999999999999
13,NIFTY FMCG,20.06,-5.15,22.77,11.04,-9.02
14,NIFTY MNC,23.18,-2.71,33.0,12.16,-11.02
15,NIFTY PHARMA,30.31,-10.1,35.48,8.47,-21.839999999999996
16,NIFTY PSE,32.48,-11.93,67.68,23.94,-8.539999999999996
17,NIFTY PSU BANK,15.15,-10.78,61.89,28.43,13.28
18,NIFTY SERV SECTOR,18.9,-5.7,35.47,13.07,-5.829999999999998
19,NIFTY AUTO,30.96,-1.37,48.69,19.11,-11.850000000000001
20,NIFTY METAL,18.11,-9.65,77.86,24.06,5.949999999999999
21,NIFTY MEDIA,3.18,-13.23,42.33,7.67,4.49
22,NIFTY 200,21.83,-3.06,30.9,14.4,-7.429999999999998
23,NIFTY200 QUALTY30,25.39,-5.3,28.87,12.25,-13.14
24,NIFTY ALPHA 50,34.59,-11.65,49.59,21.83,-12.760000000000005
25,NIFTY MIDCAP 150,29.09,-1.68,40.37,20.59,-8.5
26,NIFTY MIDSML 400,30.01,-2.28,41.5,21.17,-8.84
27,NIFTY SMLCAP 50,34.63,-15.53,50.83,19.85,-14.780000000000001
28,NIFTY SMLCAP 100,30.19,-10.72,46.93,20.69,-9.5
29,NIFTY SMLCAP 250,31.66,-3.58,48.12,22.4,-9.260000000000002
30,NIFTY50 VALUE 20,22.45,-3.52,31.6,15.08,-7.369999999999999
31,NIFTY100 LIQ 15,17.89,-8.25,33.1,15.25,-2.6400000000000006
32,NIFTY 500,22.87,-3.01,31.87,15.16,-7.710000000000001
33,NIFTY CPSE,34.78,-11.21,64.86,25.86,-8.920000000000002
34,NIFTY GROWSECT 15,20.12,-3.72,23.68,10.24,-9.88
35,NIFTY MID LIQ 15,32.77,-0.79,41.11,20.17,-12.600000000000001
36,NIFTY NEXT 50,30.29,-5.8,41.13,15.14,-15.149999999999999
37,NIFTY PVT BANK,12.76,-5.21,42.63,13.91,1.1500000000000004
38,NIFTY50 EQL WGT,23.37,-3.84,27.07,13.75,-9.620000000000001
39,NIFTY100 EQL WGT,26.07,-3.53,32.19,15.79,-10.280000000000001
40,NIFTY100 LOWVOL30,24.22,-3.35,26.17,12.83,-11.389999999999999
41,NIFTY100 QUALTY30,23.6,-5.18,27.3,12.85,-10.750000000000002
42,NIFTY ALPHALOWVOL,27.2,-6.3,33.15,14.36,-12.84
43,NIFTY MID SELECT,27.97,-4.0,40.22,18.72,-9.25
44,NIFTY FINSRV25 50,21.6,-6.44,39.01,14.62,-6.980000000000002
45,NIFTY HEALTHCARE,30.17,-9.49,34.01,10.11,-20.060000000000002
46,NIFTY CONSR DURBL,32.26,-7.02,49.53,16.68,-15.579999999999998
47,NIFTY OIL AND GAS,22.02,-6.33,45.62,16.59,-5.43
48,NIFTY500 MULTICAP,25.52,-2.76,35.94,17.56,-7.960000000000001
49,NIFTY LARGEMID250,24.87,-2.4,34.88,17.06,-7.810000000000002
50,NIFTY100ESGSECLDR,23.73,-5.03,27.18,13.7,-10.030000000000001
51,NIFTY200MOMENTM30,27.69,-8.32,42.75,17.62,-10.07
52,NIFTY TOTAL MKT,23.35,-2.92,32.27,15.49,-7.860000000000001
53,NIFTY MICROCAP250,37.67,0.0,65.32,29.3,-8.370000000000001
54,NIFTY M150 QLTY50,27.54,-4.27,36.59,15.13,-12.409999999999998
55,NIFTY INDIA MFG,28.94,-1.67,41.39,17.51,-11.43
56,NIFTY IND DIGITAL,29.53,-11.79,46.86,14.52,-15.010000000000002
57,NIFTY100 ESG,21.79,-5.83,31.71,13.15,-8.639999999999999
58,NIFTY200 ALPHA 30,32.0,-11.35,47.12,20.24,-11.760000000000002
59,NIFTYM150MOMNTM50,33.07,0.0,51.27,23.81,-9.260000000000002
60,NIFTY TATA 25 CAP,42.31,-1.85,55.72,21.88,-20.430000000000003
61,NIFTY MULTI MFG,28.46,-0.97,37.65,18.98,-9.48
62,NIFTY MULTI INFRA,26.6,-2.0,37.27,20.18,-6.420000000000002
63,NIFTY MIDSML HLTH,35.56,-13.36,40.23,11.36,-24.200000000000003
