,symbol,percent_diff,min,max,avg
0,NIFTY 50,16.4260032633658,-0.5541878575797489,26.40357621301441,12.517628522944834
1,NIFTY MIDCAP 100,29.209980633202903,-0.6315543479322439,37.00628265079107,19.854367652456418
2,NIFTY BANK,11.062859822861348,-2.671803616089105,37.349239994697484,13.378527793464572
3,NIFTY 100,18.847953998431535,-0.5379365358234199,26.532392288401784,12.613751047537678
4,NIFTY DIV OPPS 50,27.218095631315826,-0.42103454201751705,30.355174062512525,15.050129271577491
5,NIFTY COMMODITIES,23.94109062606766,-0.3886365005632029,38.34884222071038,17.809913127559337
6,NIFTY CONSUMPTION,24.028787134910402,-0.3464504575845695,25.056726325082394,12.036921619133969
7,NIFTY FIN SERVICE,12.23742440583214,-3.319991695330356,33.29197546211333,11.505215349594062
8,NIFTY IT,15.857013651996906,-6.459963419481952,43.99800863953495,14.246509188157207
9,NIFTY MIDCAP 50,29.551179571945674,-0.9564974147498795,36.65078462480894,19.91507457955456
10,NIFTY REALTY,35.82222417538124,-5.35334041521347,58.553907416547446,24.419745418494905
11,NIFTY INFRA,27.287585417053318,-0.21279485670302095,34.194771286342316,15.933887805849
12,NIFTY ENERGY,28.123771394388648,-5.562469507039859,39.83995144084206,15.478391811828844
13,NIFTY FMCG,17.638903895199316,-2.084056157207807,20.543967419115777,10.235147130364222
14,NIFTY MNC,24.502412754059907,-0.1438311061379365,28.91190527072796,11.28097011940609
15,NIFTY PHARMA,28.296205681466187,-7.266742403885483,28.296205681466187,10.050509848661322
16,NIFTY PSE,44.81621855664044,-8.647586320923107,58.91603915982723,21.01171708664215
17,NIFTY PSU BANK,24.97918301312236,-9.632954503402246,52.21448240503656,25.283006090894034
18,NIFTY SERV SECTOR,14.801868855312541,-1.16431020927235,30.986848901077035,11.708636552886055
19,NIFTY AUTO,34.242247811358475,-1.2263659567211471,41.09197752934664,18.100166848734673
20,NIFTY METAL,19.51280505307031,-0.8820187490785163,70.88094334185291,25.143444143051585
21,NIFTY MEDIA,1.8585292088754004,-11.879273858812693,35.402984617941,7.21085821701605
22,NIFTY 200,20.408014954770344,-0.5480638430953941,27.812460162362306,13.560077647156115
23,NIFTY50 DIV POINT,19.71133269373415,-84.20789335397555,127.87388377952334,32.98700624893005
24,NIFTY200 QUALTY30,22.549161953285157,-0.4249961575638814,25.15429283675547,11.598150117890329
25,NIFTY ALPHA 50,34.944461452343944,-9.06902022708906,44.64906222863549,20.609870255414304
26,NIFTY MIDCAP 150,28.596961947898226,-0.7309646673216991,35.59292608439179,19.42640926704556
