,symbol,percent_diff,min,max,avg,relative_diff
0,NIFTY 50,16.72,0.0,26.38,12.72,-3.9999999999999982
1,NIFTY MIDCAP 100,29.35,0.0,37.85,20.45,-8.900000000000002
2,NIFTY BANK,10.89,0.0,40.65,14.35,3.459999999999999
3,NIFTY 100,19.07,0.0,26.6,12.86,-6.210000000000001
4,NIFTY DIV OPPS 50,27.54,0.0,30.87,15.03,-12.51
5,NIFTY COMMODITIES,23.4,0.0,38.05,18.27,-5.129999999999999
6,NIFTY CONSUMPTION,24.41,0.0,25.12,12.32,-12.09
7,NIFTY FIN SERVICE,12.16,-2.5,35.18,12.43,0.2699999999999996
8,NIFTY IT,18.05,-6.68,43.21,13.06,-4.99
9,NIFTY MIDCAP 50,29.43,0.0,40.1,20.73,-8.7
10,NIFTY REALTY,36.52,-4.95,59.79,25.77,-10.750000000000004
11,NIFTY INFRA,26.99,0.0,33.77,16.56,-10.43
12,NIFTY ENERGY,27.66,-5.58,39.18,16.1,-11.559999999999999
13,NIFTY FMCG,17.38,-3.74,21.15,9.91,-7.469999999999999
14,NIFTY MNC,24.31,0.0,28.56,11.26,-13.049999999999999
15,NIFTY PHARMA,28.28,-6.95,28.28,9.21,-19.07
16,NIFTY PSE,43.76,-6.48,59.34,22.02,-21.74
17,NIFTY PSU BANK,23.12,-7.31,53.21,26.44,3.3200000000000003
18,NIFTY SERV SECTOR,15.24,-1.39,31.14,12.08,-3.16
19,NIFTY AUTO,34.65,0.0,40.88,18.75,-15.899999999999999
20,NIFTY METAL,18.92,-1.21,67.58,24.85,5.93
21,NIFTY MEDIA,0.9,-11.52,34.92,8.26,7.359999999999999
22,NIFTY 200,20.62,0.0,27.98,13.84,-6.780000000000001
23,NIFTY200 QUALTY30,23.02,-1.06,25.47,11.66,-11.36
24,NIFTY ALPHA 50,35.48,-8.24,44.91,20.8,-14.679999999999996
25,NIFTY MIDCAP 150,28.65,0.0,36.48,20.04,-8.61
26,NIFTY MIDSML 400,28.76,0.0,37.86,20.7,-8.060000000000002
27,NIFTY SMLCAP 50,30.19,-10.06,47.61,20.37,-9.82
28,NIFTY SMLCAP 100,28.97,-5.94,44.7,20.68,-8.29
29,NIFTY SMLCAP 250,28.94,0.0,45.55,22.13,-6.810000000000002
30,NIFTY50 VALUE 20,21.86,0.0,28.67,14.23,-7.629999999999999
31,NIFTY100 LIQ 15,17.81,-0.3,29.93,14.72,-3.089999999999998
32,NIFTY 500,21.56,0.0,28.94,14.59,-6.969999999999999
33,NIFTY CPSE,47.59,-4.5,57.25,24.12,-23.470000000000002
34,NIFTY GROWSECT 15,18.15,0.0,18.15,9.47,-8.679999999999998
35,NIFTY MID LIQ 15,31.1,0.0,40.57,20.52,-10.580000000000002
36,NIFTY NEXT 50,31.42,-4.75,36.81,14.25,-17.17
37,NIFTY PVT BANK,9.36,-2.56,37.34,12.82,3.460000000000001
38,NIFTY50 EQL WGT,21.41,0.0,23.65,12.71,-8.7
39,NIFTY100 EQL WGT,25.78,-1.22,29.47,15.07,-10.71
40,NIFTY100 LOWVOL30,20.66,0.0,23.8,12.23,-8.43
41,NIFTY100 QUALTY30,21.89,-0.84,24.42,11.98,-9.91
42,NIFTY ALPHALOWVOL,27.27,-2.16,29.93,13.79,-13.48
43,NIFTY MID SELECT,27.47,-0.57,41.54,18.71,-8.759999999999998
44,NIFTY FINSRV25 50,17.15,-3.1,34.07,13.58,-3.5699999999999985
45,NIFTY HEALTHCARE,27.67,-5.26,27.67,10.82,-16.85
46,NIFTY CONSR DURBL,24.82,-2.88,41.2,16.15,-8.670000000000002
47,NIFTY OIL AND GAS,29.48,-3.1,42.91,16.14,-13.34
48,NIFTY500 MULTICAP,24.14,0.0,32.88,17.25,-6.890000000000001
49,NIFTY LARGEMID250,24.0,0.0,30.01,15.61,-8.39
50,NIFTY100ESGSECLDR,22.0,-0.6,25.04,12.97,-9.03
51,NIFTY200MOMENTM30,30.13,-4.37,36.58,17.13,-13.0
52,NIFTY TOTAL MKT,22.06,0.0,29.33,15.04,-7.02
53,NIFTY MICROCAP250,36.29,0.0,62.79,29.21,-7.079999999999998
54,NIFTY M150 QLTY50,28.3,-2.62,32.14,14.61,-13.690000000000001
55,NIFTY INDIA MFG,30.91,0.0,36.3,17.63,-13.280000000000001
56,NIFTY IND DIGITAL,26.38,-8.17,42.43,14.21,-12.169999999999998
57,NIFTY100 ESG,19.47,-2.52,29.05,12.63,-6.839999999999998
58,NIFTY200 ALPHA 30,36.71,-7.3,42.47,19.23,-17.48
59,NIFTYM150MOMNTM50,32.42,0.0,45.5,22.8,-9.620000000000001
60,NIFTY TATA 25 CAP,28.8,0.0,47.84,22.28,-6.52
61,NIFTY MULTI MFG,29.44,0.0,34.62,19.06,-10.380000000000003
62,NIFTY MULTI INFRA,28.5,0.0,33.57,19.55,-8.95
63,NIFTY MIDSML HLTH,30.68,-9.41,30.92,11.97,-18.71
