,symbol,percent_diff,min,max,avg,relative_diff
21,NIFTY MEDIA,2.21,-11.82,35.9,7.64,5.43
20,NIFTY METAL,19.92,-1.06,68.83,24.46,4.54
2,NIFTY BANK,10.93,-3.25,36.86,13.35,2.42
37,NIFTY PVT BANK,9.61,-2.91,34.3,11.84,2.23
17,NIFTY PSU BANK,23.77,-9.43,52.22,25.58,1.81
7,NIFTY FIN SERVICE,12.36,-4.2,32.57,11.41,-0.95
31,NIFTY100 LIQ 15,17.85,-0.93,29.3,14.27,-3.58
18,NIFTY SERV SECTOR,15.63,-1.26,29.35,11.34,-4.29
0,NIFTY 50,17.11,0,25.67,12.05,-5.06
44,NIFTY FINSRV25 50,17.79,-4.28,30.97,12.51,-5.28
5,NIFTY COMMODITIES,23.95,0,37.26,17.48,-6.47
8,NIFTY IT,19.83,-6.89,41.83,12.75,-7.08
3,NIFTY 100,19.55,0,25.88,12.24,-7.31
22,NIFTY 200,21.17,0,27.22,13.25,-7.92
32,NIFTY 500,22.19,0,28.2,14.03,-8.16
57,NIFTY100 ESG,20.19,-2.9,28.03,12.01,-8.18
48,NIFTY500 MULTICAP,24.93,0,32.16,16.61,-8.32
52,NIFTY TOTAL MKT,22.71,0,28.59,14.35,-8.36
13,NIFTY FMCG,18.45,-3.74,20.48,9.93,-8.52
30,NIFTY50 VALUE 20,22.56,0,27.9,13.82,-8.74
29,NIFTY SMLCAP 250,30.54,0,44.89,21.74,-8.8
10,NIFTY REALTY,34.31,-5.29,59.21,25.37,-8.94
38,NIFTY50 EQL WGT,22.26,0,23.93,13.17,-9.09
49,NIFTY LARGEMID250,24.59,-0.21,29.69,15.41,-9.18
62,NIFTY MULTI INFRA,28.39,0,33.73,18.98,-9.41
26,NIFTY MIDSML 400,29.81,0,37.08,20.36,-9.45
53,NIFTY MICROCAP250,38.1,-0.17,62.56,28.54,-9.56
40,NIFTY100 LOWVOL30,21.52,0,23.18,11.89,-9.63
25,NIFTY MIDCAP 150,29.4,0,35.6,19.72,-9.68
9,NIFTY MIDCAP 50,30.23,-0.02,37,20.33,-9.9
34,NIFTY GROWSECT 15,19.33,0,19.33,9.36,-9.97
50,NIFTY100ESGSECLDR,22.23,-0.86,24.26,12.21,-10.02
1,NIFTY MIDCAP 100,30.23,0,36.94,20.09,-10.14
28,NIFTY SMLCAP 100,30.53,-5.46,44,20.25,-10.28
59,NIFTYM150MOMNTM50,33.14,0,44.56,22.66,-10.48
43,NIFTY MID SELECT,28.71,-1.12,38.61,18.2,-10.51
11,NIFTY INFRA,26.71,-1.49,34.17,15.79,-10.92
41,NIFTY100 QUALTY30,22.74,-0.54,23.61,11.68,-11.06
60,NIFTY TATA 25 CAP,32.96,0,46.78,21.82,-11.14
61,NIFTY MULTI MFG,30.04,0,34.45,18.79,-11.25
46,NIFTY CONSR DURBL,26.93,-3.23,40.33,15.59,-11.34
39,NIFTY100 EQL WGT,26.4,-1.64,28.6,14.64,-11.76
27,NIFTY SMLCAP 50,32.49,-9.65,46.67,19.89,-12.6
35,NIFTY MID LIQ 15,32.6,-0.08,38.59,19.96,-12.64
12,NIFTY ENERGY,27.57,-5.69,39.79,14.77,-12.8
23,NIFTY200 QUALTY30,24.2,-0.44,24.64,11.39,-12.81
6,NIFTY CONSUMPTION,25.09,0,25.09,12.16,-12.93
14,NIFTY MNC,24.41,-0.25,28.9,11.19,-13.22
51,NIFTY200MOMENTM30,30.56,-4.16,36.43,16.93,-13.63
42,NIFTY ALPHALOWVOL,27.37,-1.55,29.8,13.58,-13.79
4,NIFTY DIV OPPS 50,28.41,-0.8,30.31,14.58,-13.83
56,NIFTY IND DIGITAL,27.9,-8,41.65,13.85,-14.05
55,NIFTY INDIA MFG,31.19,0,36.46,17.13,-14.06
54,NIFTY M150 QLTY50,28.57,-2.92,32.13,14.41,-14.16
47,NIFTY OIL AND GAS,29.85,-6.91,38.83,14.41,-15.44
19,NIFTY AUTO,33.73,0,41.08,18.16,-15.57
24,NIFTY ALPHA 50,36.13,-9.12,44.1,20.46,-15.67
45,NIFTY HEALTHCARE,28.57,-5.72,28.57,11.16,-17.41
36,NIFTY NEXT 50,32.26,-5.1,36.86,13.94,-18.32
58,NIFTY200 ALPHA 30,37.71,-7.12,42.35,19.05,-18.66
15,NIFTY PHARMA,29.41,-7.35,29.41,9.8,-19.61
63,NIFTY MIDSML HLTH,32.06,-9.18,32.06,11.98,-20.08
16,NIFTY PSE,43.1,-10.63,58.89,20.86,-22.24
33,NIFTY CPSE,45.86,-7.45,57.75,23.38,-22.48
