,symbol,percent_diff,min,max,avg,relative_diff,date
20,NIFTY MEDIA,-7.14,-43.91,38.27,1.79,8.93,27-10-2024
19,NIFTY METAL,12.45,-40.12,79.33,19.08,6.63,27-10-2024
16,NIFTY PSU BANK,7.22,-52.5,61.58,13.36,6.14,27-10-2024
46,NIFTY OIL AND GAS,8.62,-32.79,48.42,13.78,5.16,27-10-2024
23,NIFTY ALPHA 50,18.43,-22.91,53.69,21.81,3.38,27-10-2024
52,NIFTY MICROCAP250,22.98,-37.76,69.36,25.61,2.63,27-10-2024
5,NIFTY COMMODITIES,11.65,-33.79,39.75,14.11,2.46,27-10-2024
11,NIFTY ENERGY,11.12,-32.11,45.2,13.19,2.07,27-10-2024
58,NIFTYM150MOMNTM50,20.16,-21.8,53.57,21.7,1.54,27-10-2024
12,NIFTY FMCG,8.19,-15.62,23.06,9.64,1.45,27-10-2024
61,NIFTY MULTI INFRA,14.94,-32.29,37.32,16.15,1.21,27-10-2024
9,NIFTY MIDCAP 50,16.8,-34.25,41.89,17.54,0.74,27-10-2024
48,NIFTY LARGEMID250,15.17,-5.53,33.4,15.65,0.48,27-10-2024
37,NIFTY50 EQL WGT,13.42,-3.84,27.45,13.87,0.45,27-10-2024
28,NIFTY SMLCAP 250,18.24,-34.04,49.57,18.56,0.32,27-10-2024
33,NIFTY GROWSECT 15,10.94,-3.07,23.7,10.75,-0.19,27-10-2024
25,NIFTY MIDSML 400,17.93,-31.3,42.48,17.74,-0.19,27-10-2024
24,NIFTY MIDCAP 150,17.74,-30.08,41.35,17.34,-0.4,27-10-2024
10,NIFTY REALTY,18.7,-38.53,65.58,18.19,-0.51,27-10-2024
1,NIFTY MIDCAP 100,17.76,-32.96,42.88,17.11,-0.65,27-10-2024
27,NIFTY SMLCAP 100,17.45,-38.7,47.56,16.38,-1.07,27-10-2024
47,NIFTY500 MULTICAP,15.39,-31.3,36.44,14.25,-1.14,27-10-2024
36,NIFTY PVT BANK,6.26,-45.95,26,5.02,-1.24,27-10-2024
0,NIFTY 50,11.37,-31.27,28.96,10.05,-1.32,27-10-2024
50,NIFTY200MOMENTM30,17.63,-21.57,43.43,16.22,-1.41,27-10-2024
30,NIFTY100 LIQ 15,8.97,-45.76,28.55,7.53,-1.44,27-10-2024
57,NIFTY200 ALPHA 30,19.62,-23.62,47.22,18.17,-1.45,27-10-2024
60,NIFTY MULTI MFG,18.6,-33,39.05,17,-1.6,27-10-2024
2,NIFTY BANK,8.31,-43.9,30.05,6.54,-1.77,27-10-2024
31,NIFTY 500,13.8,-30.78,32.03,11.96,-1.84,27-10-2024
51,NIFTY TOTAL MKT,14.11,-30.86,32.47,12.26,-1.85,27-10-2024
21,NIFTY 200,13.17,-30.91,30.93,11.2,-1.97,27-10-2024
3,NIFTY 100,12.35,-30.67,29.26,10.3,-2.05,27-10-2024
56,NIFTY100 ESG,13.04,-29.03,32.67,10.99,-2.05,27-10-2024
29,NIFTY50 VALUE 20,15.48,-21.2,33.23,13.3,-2.18,27-10-2024
18,NIFTY AUTO,17.8,-42.02,48.75,15.62,-2.18,27-10-2024
38,NIFTY100 EQL WGT,14.77,-30.17,32.4,12.52,-2.25,27-10-2024
13,NIFTY MNC,13.01,-21.59,33.06,10.71,-2.3,27-10-2024
54,NIFTY INDIA MFG,18.53,-31.01,41.5,15.85,-2.68,27-10-2024
42,NIFTY MID SELECT,17.68,-35.62,40.56,14.85,-2.83,27-10-2024
15,NIFTY PSE,19.26,-33.1,67.57,16.05,-3.21,27-10-2024
39,NIFTY100 LOWVOL30,14.7,-22.82,27.69,11.36,-3.34,27-10-2024
40,NIFTY100 QUALTY30,14.21,-24.89,28,10.68,-3.53,27-10-2024
4,NIFTY DIV OPPS 50,16.88,-24.65,34.13,13.15,-3.73,27-10-2024
49,NIFTY100ESGSECLDR,15.36,-27,27.87,11.13,-4.23,27-10-2024
22,NIFTY200 QUALTY30,15.36,-20.75,30.13,11.08,-4.28,27-10-2024
8,NIFTY IT,18.95,-22.29,53.92,14.62,-4.33,27-10-2024
32,NIFTY CPSE,21.59,-31.66,64.78,17.19,-4.4,27-10-2024
41,NIFTY ALPHALOWVOL,16.65,-22.81,33.19,12.13,-4.52,27-10-2024
6,NIFTY CONSUMPTION,16.54,-20.38,33.75,11.72,-4.82,27-10-2024
26,NIFTY SMLCAP 50,21.16,-39.32,51.98,15.9,-5.26,27-10-2024
7,NIFTY FIN SERVICE,12.11,-38.27,30.04,6.8,-5.31,27-10-2024
17,NIFTY SERV SECTOR,13.74,-34.51,30.27,8.4,-5.34,27-10-2024
35,NIFTY NEXT 50,18.43,-27.05,41.19,12.35,-6.08,27-10-2024
55,NIFTY IND DIGITAL,20.94,-28.14,51.33,14.82,-6.12,27-10-2024
45,NIFTY CONSR DURBL,18.84,-24.3,48.37,12.57,-6.27,27-10-2024
53,NIFTY M150 QLTY50,19.62,-23.62,36.71,13.31,-6.31,27-10-2024
43,NIFTY FINSRV25 50,14.61,-38.37,29.43,8.26,-6.35,27-10-2024
34,NIFTY MID LIQ 15,23.45,-34.07,42.5,17.08,-6.37,27-10-2024
44,NIFTY HEALTHCARE,25.05,-14.17,34.2,14.38,-10.67,27-10-2024
14,NIFTY PHARMA,24.63,-15.84,35.77,13.55,-11.08,27-10-2024
59,NIFTY TATA 25 CAP,29.54,-31.39,57.42,18.42,-11.12,27-10-2024
62,NIFTY MIDSML HLTH,28.72,-11.69,40.42,15.13,-13.59,27-10-2024
