date,open,high,low,close,volume,5EMA,89EMA,5ema_volume,prev_open,pre_prev_open,prev_low,pre_prev_low,prev_high,pre_prev_high,prev_5EMA,pre_prev_5EMA,prev_89EMA,pre_prev_89EMA,prev_close,pre_prev_close,close_open,binary,percentage_difference
2020-07-02 00:00:00+05:30,22133.8,23080.6,21768.0,22584.65,0,22584.65,22584.65,0.0,,,,,,,,,,,,,450.8500000000022,True,0.0
2020-07-09 00:00:00+05:30,22753.15,22998.3,21222.45,21340.75,0,22170.01666666667,22557.007777777777,0.0,22133.8,,21768.0,,23080.6,,22584.65,,22584.65,,22584.65,,-1412.4000000000015,False,-1.7156136794542154
2020-07-16 00:00:00+05:30,21453.25,23211.35,21027.85,22882.6,0,22407.544444444447,22564.243160493825,0.0,22753.15,22133.8,21222.45,21768.0,22998.3,23080.6,22170.01666666667,22584.65,22170.01666666667,22584.65,21340.75,22584.65,1429.3499999999985,True,-0.694455891716901
2020-07-23 00:00:00+05:30,22854.85,23122.35,21611.4,22076.6,0,22297.229629629634,22553.406645816183,0.0,21453.25,22753.15,21027.85,21222.45,23211.35,22998.3,22407.544444444447,22170.01666666667,22407.544444444447,22170.01666666667,22882.6,21340.75,-778.25,False,-1.1358683865795167
2020-07-30 00:00:00+05:30,22195.05,22252.6,21031.45,21509.95,0,22034.803086419757,22530.218720353598,0.0,22854.85,21453.25,21611.4,21027.85,23122.35,23211.35,22297.229629629634,22407.544444444447,22297.229629629634,22407.544444444447,22076.6,22882.6,-685.0999999999985,False,-2.198894027985119
2020-08-06 00:00:00+05:30,21644.25,22326.55,21370.3,22264.0,0,22111.202057613173,22524.302748790185,0.0,22195.05,22854.85,21031.45,21611.4,22252.6,23122.35,22034.803086419757,22297.229629629634,22034.803086419757,22297.229629629634,21509.95,22076.6,619.75,True,-1.8340221039659088
2020-08-13 00:00:00+05:30,22395.2,22439.95,21403.15,22285.9,0,22169.43470507545,22519.004909928182,0.0,21644.25,22195.05,21370.3,21031.45,22326.55,22252.6,22111.202057613173,22034.803086419757,22111.202057613173,22034.803086419757,22264.0,21509.95,-109.29999999999927,False,-1.5523341561980495
2020-08-20 00:00:00+05:30,21989.9,23453.4,21886.7,23414.2,0,22584.356470050305,22538.898134152,0.0,22395.2,21644.25,21403.15,21370.3,22439.95,22326.55,22169.43470507545,22111.202057613173,22169.43470507545,22111.202057613173,22285.9,22264.0,1424.2999999999993,True,0.2016883683831155
2020-08-27 00:00:00+05:30,23511.45,25232.6,23385.3,23874.55,0,23014.420980033537,22568.579286726403,0.0,21989.9,22395.2,21886.7,21403.15,23453.4,22439.95,22584.356470050305,22169.43470507545,22584.356470050305,22169.43470507545,23414.2,22285.9,363.09999999999854,True,1.9754973835209664
2020-09-03 00:00:00+05:30,23986.15,24051.6,22080.4,22267.0,0,22765.280653355694,22561.877524799147,0.0,23511.45,21989.9,23385.3,21886.7,25232.6,23453.4,23014.420980033537,22584.356470050305,23014.420980033537,22584.356470050305,23874.55,23414.2,-1719.1500000000015,False,0.9015345834271733
2020-09-10 00:00:00+05:30,22466.55,22757.3,22028.15,22573.55,0,22701.370435570465,22562.136913136943,0.0,23986.15,23511.45,22080.4,23385.3,24051.6,25232.6,22765.280653355694,23014.420980033537,22765.280653355694,23014.420980033537,22267.0,23874.55,107.0,True,0.6171114153307545
2020-09-17 00:00:00+05:30,22352.0,22504.45,20821.0,21178.5,0,22193.746957046977,22531.389426178346,0.0,22466.55,23986.15,22028.15,22080.4,22757.3,24051.6,22701.370435570465,22765.280653355694,22701.370435570465,22765.280653355694,22573.55,22267.0,-1173.5,False,-1.4985426009240066
2020-09-24 00:00:00+05:30,20898.8,21811.5,20404.9,21451.8,0,21946.431304697984,22507.39855004105,0.0,22352.0,22466.55,20821.0,22028.15,22504.45,22757.3,22193.746957046977,22701.370435570465,22193.746957046977,22701.370435570465,21178.5,22573.55,553.0,True,-2.4923682054852216
2020-10-01 00:00:00+05:30,21685.25,23036.2,21664.15,22964.8,0,22285.88753646532,22517.563026706805,0.0,20898.8,22352.0,20404.9,20821.0,21811.5,22504.45,21946.431304697984,22193.746957046977,21946.431304697984,22193.746957046977,21451.8,21178.5,1279.5499999999993,True,-1.0288657345677508
2020-10-08 00:00:00+05:30,23150.25,24190.35,23063.6,23874.65,0,22815.475024310217,22547.72051500221,0.0,21685.25,20898.8,21664.15,20404.9,23036.2,21811.5,22285.88753646532,21946.431304697984,22285.88753646532,21946.431304697984,22964.8,21451.8,724.4000000000015,True,1.187501455545613
2020-10-15 00:00:00+05:30,23920.35,24823.6,22970.95,24635.05,0,23422.00001620681,22594.105614668824,0.0,23150.25,21685.25,23063.6,21664.15,24190.35,23036.2,22815.475024310217,22285.88753646532,22815.475024310217,22285.88753646532,23874.65,22964.8,714.7000000000007,True,3.6642052385578383
2020-10-22 00:00:00+05:30,24447.35,24809.65,23867.75,24232.5,0,23692.166677471207,22630.514378787295,0.0,23920.35,23150.25,22970.95,23063.6,24823.6,24190.35,23422.00001620681,22815.475024310217,23422.00001620681,22815.475024310217,24635.05,23874.65,-214.84999999999854,False,4.691242456596794
2020-10-29 00:00:00+05:30,24063.5,25891.0,23612.7,25771.6,0,24385.311118314137,22700.31628148091,0.0,24447.35,23920.35,23867.75,22970.95,24809.65,24823.6,23692.166677471207,23422.00001620681,23692.166677471207,23422.00001620681,24232.5,24635.05,1708.0999999999985,True,7.422781321368009
2020-11-05 00:00:00+05:30,26174.8,29030.9,26000.05,28845.0,0,25871.87407887609,22836.864808559112,0.0,24063.5,24447.35,23612.7,23867.75,25891.0,24809.65,24385.311118314137,23692.166677471207,24385.311118314137,23692.166677471207,25771.6,24232.5,2670.2000000000007,True,13.289955936418545
2020-11-12 00:00:00+05:30,28633.75,29784.75,27703.3,29749.85,0,27164.53271925073,22990.486701702244,0.0,26174.8,24063.5,26000.05,23612.7,29030.9,25891.0,25871.87407887609,24385.311118314137,25871.87407887609,24385.311118314137,28845.0,25771.6,1116.0999999999985,True,18.15553568615593
2020-11-19 00:00:00+05:30,29302.6,30197.85,28580.9,29196.4,0,27841.82181283382,23128.39588610886,0.0,28633.75,26174.8,27703.3,26000.05,29784.75,29030.9,27164.53271925073,25871.87407887609,27164.53271925073,25871.87407887609,29749.85,28845.0,-106.19999999999709,False,20.37938969021145
2020-11-26 00:00:00+05:30,29370.4,29919.75,28923.1,29463.15,0,28382.264541889213,23269.168199750886,0.0,29302.6,28633.75,28580.9,27703.3,30197.85,29784.75,27841.82181283382,27164.53271925073,27841.82181283382,27164.53271925073,29196.4,29749.85,92.75,True,21.97369625869595
2020-12-03 00:00:00+05:30,29728.9,30807.25,29379.4,30709.4,0,29157.97636125948,23434.506684200867,0.0,29370.4,29302.6,28923.1,28580.9,29919.75,30197.85,28382.264541889213,27841.82181283382,28382.264541889213,27841.82181283382,29463.15,29196.4,980.5,True,24.42325650028415
2020-12-10 00:00:00+05:30,30545.35,30932.25,30202.1,30698.4,0,29671.45090750632,23595.92653566307,0.0,29728.9,29370.4,29379.4,28923.1,30807.25,29919.75,29157.97636125948,28382.264541889213,29157.97636125948,28382.264541889213,30709.4,29463.15,153.0500000000029,True,25.748191590021502
2020-12-17 00:00:00+05:30,30791.2,30945.2,28976.75,29883.3,0,29742.067271670883,23735.64594598167,0.0,30545.35,29728.9,30202.1,29379.4,30932.25,30807.25,29671.45090750632,29157.97636125948,29671.45090750632,29157.97636125948,30698.4,30709.4,-907.9000000000015,False,25.30548921802599
2020-12-24 00:00:00+05:30,30071.65,31510.25,30007.8,31303.05,0,30262.39484778059,23903.810480515407,0.0,30791.2,30545.35,28976.75,30202.1,30945.2,30932.25,29742.067271670883,29671.45090750632,29742.067271670883,29671.45090750632,29883.3,30698.4,1231.3999999999978,True,26.60071444445321
2020-12-31 00:00:00+05:30,31295.9,31982.3,30893.65,31797.9,0,30774.229898520396,24079.23469205951,0.0,30071.65,30791.2,30007.8,28976.75,31510.25,30945.2,30262.39484778059,29742.067271670883,30262.39484778059,29742.067271670883,31303.05,29883.3,502.0,True,27.804019903791477
2021-01-07 00:00:00+05:30,32129.8,32683.5,31725.85,32574.65,0,31374.369932346934,24268.021698902627,0.0,31295.9,30071.65,30893.65,30007.8,31982.3,31510.25,30774.229898520396,30262.39484778059,30774.229898520396,30262.39484778059,31797.9,31303.05,444.8500000000022,True,29.282766933431777
2021-01-14 00:00:00+05:30,32526.7,32718.95,31650.9,32543.7,0,31764.14662156462,24451.925661149235,0.0,32129.8,31295.9,31725.85,30893.65,32683.5,31982.3,31374.369932346934,30774.229898520396,31374.369932346934,30774.229898520396,32574.65,31797.9,17.0,True,29.90447894266874
2021-01-21 00:00:00+05:30,32732.8,32842.3,30165.65,30284.55,0,31270.94774770975,24581.53953534592,0.0,32526.7,32129.8,31650.9,31725.85,32718.95,32683.5,31764.14662156462,31374.369932346934,31764.14662156462,31374.369932346934,32543.7,32574.65,-2448.25,False,27.213137739990184
2021-01-28 00:00:00+05:30,29812.3,34908.05,29687.7,34758.45,0,32433.448498473168,24807.69310122712,0.0,32732.8,32526.7,30165.65,31650.9,32842.3,32718.95,31270.94774770975,31764.14662156462,31270.94774770975,31764.14662156462,30284.55,32543.7,4946.149999999998,True,30.73947813740423
2021-02-04 00:00:00+05:30,34548.9,36615.2,34238.9,35783.1,0,33549.99899898211,25051.59103231096,0.0,29812.3,32732.8,29687.7,30165.65,34908.05,32842.3,32433.448498473168,31270.94774770975,32433.448498473168,31270.94774770975,34758.45,30284.55,1234.199999999997,True,33.92362567195873
2021-02-11 00:00:00+05:30,35687.25,37708.75,35573.3,36910.95,0,34670.31599932141,25315.132342704048,0.0,34548.9,29812.3,34238.9,29687.7,36615.2,34908.05,33549.99899898211,32433.448498473168,33549.99899898211,32433.448498473168,35783.1,34758.45,1223.699999999997,True,36.95490716766318
2021-02-18 00:00:00+05:30,37088.75,37108.75,34976.0,36452.3,0,35264.310666214275,25562.624957310625,0.0,35687.25,34548.9,35573.3,34238.9,37708.75,36615.2,34670.31599932141,33549.99899898211,34670.31599932141,33549.99899898211,36910.95,35783.1,-636.4499999999971,False,37.95261920520833
2021-02-25 00:00:00+05:30,36763.15,37232.2,34658.7,36368.05,0,35632.22377747619,25802.745513814833,0.0,37088.75,35687.25,34976.0,35573.3,37108.75,37708.75,35264.310666214275,34670.31599932141,35264.310666214275,34670.31599932141,36452.3,36910.95,-395.09999999999854,False,38.09469910246038
2021-03-04 00:00:00+05:30,35575.65,36316.4,34893.25,35938.3,0,35734.24918498413,26027.980057952278,0.0,36763.15,37088.75,34658.7,34976.0,37232.2,37108.75,35632.22377747619,35264.310666214275,35632.22377747619,35264.310666214275,36368.05,36452.3,362.65000000000146,True,37.29167267463891
2021-03-12 00:00:00+05:30,36497.35,36497.35,34126.85,34229.25,0,35232.58278998942,26210.230501108894,0.0,35575.65,36763.15,34893.25,34658.7,36316.4,37232.2,35734.24918498413,35632.22377747619,35734.24918498413,35632.22377747619,35938.3,36368.05,-2268.0999999999985,False,34.42301771630285
