,symbol,percent_diff,min,max,avg,relative_diff
0,NIFTY 50,16.09,0.0,26.36,12.64,-3.4499999999999993
1,NIFTY MIDCAP 100,28.57,-0.02,37.44,20.12,-8.45
2,NIFTY BANK,10.34,-2.01,36.55,13.62,3.2799999999999994
3,NIFTY 100,18.41,0.0,26.56,12.76,-5.65
4,NIFTY DIV OPPS 50,26.66,0.0,30.86,15.31,-11.35
5,NIFTY COMMODITIES,22.75,0.0,38.16,17.96,-4.789999999999999
6,NIFTY CONSUMPTION,23.84,0.0,25.03,12.27,-11.57
7,NIFTY FIN SERVICE,11.54,-2.61,32.13,11.72,0.1800000000000015
8,NIFTY IT,16.68,-6.54,45.43,14.61,-2.0700000000000003
9,NIFTY MIDCAP 50,28.63,-0.13,36.49,20.25,-8.379999999999999
10,NIFTY REALTY,35.07,-4.51,57.72,24.71,-10.36
11,NIFTY INFRA,26.31,0.0,34.22,16.09,-10.219999999999999
12,NIFTY ENERGY,27.24,-5.12,39.65,15.59,-11.649999999999999
13,NIFTY FMCG,16.85,-3.15,20.74,10.1,-6.750000000000002
14,NIFTY MNC,23.5,0.0,28.45,11.37,-12.13
15,NIFTY PHARMA,28.46,-6.96,28.71,9.78,-18.68
16,NIFTY PSE,42.81,-7.78,58.71,21.39,-21.42
17,NIFTY PSU BANK,22.74,-10.76,53.5,25.27,2.530000000000001
18,NIFTY SERV SECTOR,14.56,-1.16,30.31,11.97,-2.59
19,NIFTY AUTO,33.59,0.0,41.28,18.63,-14.960000000000004
20,NIFTY METAL,18.16,-1.33,67.1,24.72,6.559999999999999
21,NIFTY MEDIA,0.66,-11.25,34.11,7.6,6.9399999999999995
22,NIFTY 200,19.95,0.0,27.89,13.72,-6.229999999999999
23,NIFTY200 QUALTY30,22.24,-0.68,25.93,11.91,-10.329999999999998
24,NIFTY ALPHA 50,34.64,-8.14,45.02,20.8,-13.84
25,NIFTY MIDCAP 150,27.89,-0.03,36.14,19.75,-8.14
26,NIFTY MIDSML 400,27.98,-0.03,37.56,20.41,-7.57
27,NIFTY SMLCAP 50,29.16,-9.78,47.34,20.04,-9.120000000000001
28,NIFTY SMLCAP 100,28.07,-5.72,44.45,20.32,-7.75
29,NIFTY SMLCAP 250,28.1,-0.05,45.39,21.81,-6.290000000000003
30,NIFTY50 VALUE 20,21.04,0.0,29.46,14.88,-6.159999999999998
31,NIFTY100 LIQ 15,17.21,-0.58,29.51,14.26,-2.950000000000001
32,NIFTY 500,20.87,0.0,28.85,14.46,-6.41
33,NIFTY CPSE,47.04,-6.66,57.46,23.27,-23.77
34,NIFTY GROWSECT 15,17.37,0.0,17.71,9.22,-8.15
35,NIFTY MID LIQ 15,30.3,0.0,37.41,20.16,-10.14
36,NIFTY NEXT 50,30.51,-4.2,36.69,14.03,-16.480000000000004
37,NIFTY PVT BANK,8.79,-2.26,33.48,12.07,3.280000000000001
38,NIFTY50 EQL WGT,20.81,0.0,23.29,12.53,-8.28
39,NIFTY100 EQL WGT,25.07,-0.85,29.25,14.9,-10.17
40,NIFTY100 LOWVOL30,20.14,0.0,24.17,12.52,-7.620000000000001
41,NIFTY100 QUALTY30,21.08,-0.65,24.66,12.18,-8.899999999999999
42,NIFTY ALPHALOWVOL,26.67,-1.95,30.21,14.0,-12.670000000000002
43,NIFTY MID SELECT,26.72,-0.22,37.73,18.35,-8.369999999999997
44,NIFTY FINSRV25 50,16.44,-2.7,31.05,12.85,-3.5900000000000016
45,NIFTY HEALTHCARE,27.74,-5.32,28.23,11.26,-16.479999999999997
46,NIFTY CONSR DURBL,24.04,-2.63,41.2,16.07,-7.969999999999999
47,NIFTY OIL AND GAS,28.95,-2.87,42.08,15.61,-13.34
48,NIFTY500 MULTICAP,23.39,0.0,32.72,16.9,-6.490000000000002
49,NIFTY LARGEMID250,23.27,0.0,30.22,15.68,-7.59
50,NIFTY100ESGSECLDR,21.38,-0.54,25.21,12.86,-8.52
51,NIFTY200MOMENTM30,29.23,-4.47,37.09,17.18,-12.05
52,NIFTY TOTAL MKT,21.34,0.0,29.24,14.77,-6.57
53,NIFTY MICROCAP250,35.36,-0.48,61.99,28.3,-7.059999999999999
54,NIFTY M150 QLTY50,27.79,-2.45,32.29,14.45,-13.34
55,NIFTY INDIA MFG,30.19,0.0,36.44,17.5,-12.690000000000001
56,NIFTY IND DIGITAL,24.99,-8.14,43.26,14.41,-10.579999999999998
57,NIFTY100 ESG,18.75,-2.07,29.2,12.66,-6.09
58,NIFTY200 ALPHA 30,35.73,-7.36,42.06,19.43,-16.299999999999997
59,NIFTYM150MOMNTM50,31.58,0.0,45.54,22.77,-8.809999999999999
60,NIFTY TATA 25 CAP,31.17,0.0,47.28,21.93,-9.240000000000002
61,NIFTY MULTI MFG,28.74,0.0,35.05,19.03,-9.709999999999997
62,NIFTY MULTI INFRA,27.77,0.0,33.8,19.16,-8.61
63,NIFTY MIDSML HLTH,30.26,-9.01,31.31,12.39,-17.87
