,symbol,percent_diff,min,max,avg,relative_diff
23,HANGSENG BEES-NAV,0,0,0,0,0
2,NIFTY BANK,11.2,-31.59,28.49,7.52,-3.68
38,NIFTY PVT BANK,9.51,-33,25.3,5.81,-3.7
7,NIFTY FIN SERVICE,12.41,-24.56,29.87,8.52,-3.89
21,NIFTY MEDIA,1.48,-42.55,29.04,-2.99,-4.47
8,NIFTY IT,16.27,-17.04,44.95,10.51,-5.76
20,NIFTY METAL,19.89,-33.18,62.93,13.94,-5.95
18,NIFTY SERV SECTOR,15.01,-20.87,28.84,8.3,-6.71
0,NIFTY 50,16.64,-18.36,26.43,9.36,-7.28
45,NIFTY FINSRV25 50,17.31,-24.68,28.92,9.31,-8
39,NIFTY50 EQL WGT,21.52,0,23.93,13.08,-8.44
35,NIFTY GROWSECT 15,17.36,-6.65,17.67,8.8,-8.56
13,NIFTY FMCG,17.44,-10.33,20.64,8.31,-9.13
50,NIFTY LARGEMID250,24.06,-2.2,29.03,14.56,-9.5
58,NIFTY100 ESG,19.31,-16.67,29.44,9.78,-9.53
3,NIFTY 100,19.04,-18.11,26.59,9.45,-9.59
22,NIFTY 200,20.62,-18.48,27.81,10.05,-10.57
31,NIFTY50 VALUE 20,21.54,-14.71,29.27,10.58,-10.96
33,NIFTY 500,21.63,-18.58,28.75,10.58,-11.05
41,NIFTY100 LOWVOL30,20.49,-13.99,24.48,9.43,-11.06
53,NIFTY TOTAL MKT,22.12,-18.83,29.11,10.75,-11.37
32,NIFTY100 LIQ 15,17.85,-33.13,25.11,6.27,-11.58
47,NIFTY CONSR DURBL,23.48,-17.27,39.33,11.51,-11.97
49,NIFTY500 MULTICAP,24.3,-20.14,32.36,12.03,-12.27
51,NIFTY100ESGSECLDR,21.8,-15.75,25.58,9.5,-12.3
5,NIFTY COMMODITIES,24.06,-24.3,36.01,11.67,-12.39
42,NIFTY100 QUALTY30,21.67,-15.22,24.44,8.73,-12.94
24,NIFTY200 QUALTY30,22.69,-12,25.78,8.87,-13.82
60,NIFTYM150MOMNTM50,32.42,-10.15,46.05,18.12,-14.3
57,NIFTY IND DIGITAL,24.91,-21.08,44.02,10.6,-14.31
11,NIFTY INFRA,27.38,-17.79,34.23,12.97,-14.41
6,NIFTY CONSUMPTION,24.18,-11.04,25.08,9.73,-14.45
26,NIFTY MIDCAP 150,28.89,-18.97,35.81,14.41,-14.48
27,NIFTY MIDSML 400,29.13,-21.16,36.95,14.4,-14.73
17,NIFTY PSU BANK,24.86,-49.69,51.89,10.04,-14.82
30,NIFTY SMLCAP 250,29.54,-25.84,43.58,14.35,-15.19
44,NIFTY MID SELECT,27.41,-24.27,36.49,12.03,-15.38
40,NIFTY100 EQL WGT,25.96,-19.87,28.92,10.57,-15.39
63,NIFTY MULTI INFRA,29.08,-21.62,33.73,13.64,-15.44
14,NIFTY MNC,24.51,-11.47,28.94,8.94,-15.57
9,NIFTY MIDCAP 50,29.77,-23.16,36.52,14.15,-15.62
1,NIFTY MIDCAP 100,29.52,-22.2,36.52,13.83,-15.69
61,NIFTY TATA 25 CAP,30.97,-21.04,46.6,15.27,-15.7
12,NIFTY ENERGY,28.21,-21.73,39.86,11.64,-16.57
36,NIFTY MID LIQ 15,30.53,-22.73,37.62,13.92,-16.61
62,NIFTY MULTI MFG,29.75,-23.49,35.1,12.97,-16.78
43,NIFTY ALPHALOWVOL,27.17,-12.4,29.81,10.09,-17.08
48,NIFTY OIL AND GAS,29.73,-23.56,43.14,12.6,-17.13
29,NIFTY SMLCAP 100,29.61,-30,41.75,12.46,-17.15
52,NIFTY200MOMENTM30,30.42,-10.88,36.45,13.24,-17.18
25,NIFTY ALPHA 50,35.69,-11.59,47.53,18.35,-17.34
46,NIFTY HEALTHCARE,27.88,-9,28.09,10.5,-17.38
64,NIFTY MIDSML HLTH,30.11,-8.03,33.13,12.58,-17.53
4,NIFTY DIV OPPS 50,27.48,-19.41,30.32,9.92,-17.56
55,NIFTY M150 QLTY50,28.68,-13.02,32.2,11.12,-17.56
56,NIFTY INDIA MFG,31.23,-21.98,36.49,12.31,-18.92
28,NIFTY SMLCAP 50,30.77,-30.74,43.97,11.79,-18.98
54,NIFTY MICROCAP250,36.88,-33.83,60.49,17.56,-19.32
15,NIFTY PHARMA,28.51,-12.07,28.51,9.15,-19.36
10,NIFTY REALTY,36.7,-30.44,55.42,17.06,-19.64
37,NIFTY NEXT 50,31.64,-16.58,36.87,10.46,-21.18
59,NIFTY200 ALPHA 30,37.2,-12.2,42.37,14.78,-22.42
19,NIFTY AUTO,34.5,-30.3,41.08,11.35,-23.15
16,NIFTY PSE,44.91,-25.9,58.76,12.32,-32.59
34,NIFTY CPSE,48.81,-29.53,57.55,12.32,-36.49
